,city,goal1,goal2,goal3,goal4,goal5,goal6,goal7,goal8,goal9,goal10,goal11,goal12,goal13,goal14,goal15,goal16,goal17
14,美唄市,91.82805125,73.50570017,81.4891339,89.47568758,82.78965242,76.38573374,89.58110464,76.32850555,74.4997094,93.01989262,94.76753349,87.32798758,95.77537117,79.80150094,86.41404145,83.65413025,78.84266394
15,芦別市,94.13139287,81.97347734,91.09425828,70.8988006,98.99924098,15.52087356,86.76398411,87.27240751,90.05082048,88.18145184,73.3654343,89.80155572,69.97803193,85.75497048,99.99282121,80.37760253,76.58043464
16,江別市,84.32541133,89.71201599,90.88991632,81.86562295,86.68990893,92.01216515,88.64655306,69.74715074,84.69315798,84.63119314,100,84.87709953,94.03409569,87.77108786,97.59524676,92.7558944,94.58345031
17,赤平市,89.63004515,80.28406819,89.21002421,81.45533012,93.13523653,78.03916366,91.45064479,73.59195269,73.40759856,71.74448367,85.79094007,62.21457068,80.56284163,86.58994221,84.5361862,83.73403563,88.40020021
18,紋別市,89.09540752,81.07216249,70.39645493,94.32658673,90.45179481,85.81577349,70.79067651,82.30808808,78.77485278,91.5266345,92.47699704,77.59308223,84.18347458,87.12353569,84.59104546,81.71513064,87.61641578
19,士別市,82.8509869,82.87373206,89.99869756,79.12548238,98.62865546,86.13477786,81.67194368,75.25936391,76.23932393,89.01414219,81.2018112,99.27651709,85.28903876,75.0051072,100,73.00229307,74.45892987
20,名寄市,76.25623851,79.88210499,90.72891058,85.47973006,84.30865588,82.57637858,83.80561751,89.11252955,100,89.25627957,80.64446582,95.46683099,75.38836397,91.03405159,89.90335359,83.29193601,76.35890536
21,三笠市,93.71726201,76.33150129,97.08873438,73.45070918,89.58825513,0,93.42237702,60.56700603,99.38134545,60.0764978,73.70360003,82.70345452,59.06199773,78.53260088,71.16312206,88.84995134,72.4478507
22,根室市,93.09977805,87.42779673,94.91034251,96.67735452,77.41253332,85.52383785,90.7774798,73.00724964,68.97628333,72.0400589,92.43797929,75.55612012,83.47510212,99.3219799,80.7332909,78.43236443,83.10132522
23,千歳市,83.25568673,91.66706265,91.33828217,75.26772192,98.45911283,84.73775784,66.01197797,69.01346869,70.20947249,76.50706095,81.08810036,75.27431236,78.69529607,85.01776377,82.54853986,76.64399661,93.84427216
24,滝川市,84.23616389,79.9413272,91.72384907,83.27011104,80.69864517,87.48131939,86.45174529,80.69971898,76.13256346,95.25046232,92.17361017,84.45661567,86.71341239,72.65751047,90.17263453,90.28240692,83.64409848
25,砂川市,83.35375456,79.14370275,91.64641749,77.62906773,91.35442313,87.89344546,72.32823284,82.2594007,81.65301841,93.65587454,93.89653013,71.20162352,73.57254725,73.59775947,67.28397222,81.16782293,92.82770738
26,歌志内市,97.12801723,51.7209815,80.6074447,74.44210135,78.81770671,75.20249518,90.98361808,78.69427484,71.20549074,96.42100556,91.71772148,92.45591536,84.51338464,80.57948527,83.34173893,92.76054429,88.29758957
27,深川市,79.34823626,83.1100049,90.63502279,84.25360136,87.54372623,81.726403,87.08433108,83.2202455,82.5911979,86.45256651,94.32528798,78.21112837,81.51740098,78.10428917,92.66476262,83.57354197,77.79858861
28,富良野市,83.24989907,82.08401142,86.82539446,79.64642118,78.84217383,100,84.3451044,90.76827953,80.46436176,100,89.91510427,71.28756706,100,75.18884079,88.06168287,83.46366122,92.19639942
29,登別市,92.19679582,80.28825147,90.67392072,79.9000184,85.11770556,93.57425379,90.88080959,77.63521598,82.18894902,87.5240161,95.29702415,95.04620692,83.5051089,95.82708448,90.57670721,71.03105712,93.99029661
30,恵庭市,87.48961329,89.40683395,88.07679382,92.62251181,76.09151102,90.64313959,84.0074601,66.18074549,73.31896212,85.91658874,95.77899554,75.40093096,88.87586967,84.66143176,95.39448137,77.05806235,88.68861196
31,伊達市,89.34674705,88.26647514,89.58884812,92.16359635,92.81984175,81.47022774,88.38935858,79.37474742,79.65140055,76.00415023,90.50625242,80.38010305,88.47888535,87.09477863,94.70756583,84.1164245,85.40011957
32,北広島市,91.72618476,87.43938522,85.80588036,83.2997375,87.47133981,26.36666456,67.07722959,65.83792446,95.27249927,79.35255353,66.90215254,92.9032793,100,92.21793077,100,77.34060423,74.15854442
33,石狩市,100,81.97425384,90.45219807,68.15176418,87.76163654,92.34710616,94.94459754,83.59870812,86.85287565,83.70539949,86.04236529,84.00820024,88.43828613,85.78690358,89.62544966,82.29402059,96.16676697
34,北斗市,95.55271536,84.20695264,76.4234699,85.83927311,87.31216402,94.9120991,83.91082845,72.49524733,78.4475986,92.73532579,99.23897438,82.61333644,94.6178712,99.44581734,89.09937478,74.58052081,93.40909609
35,当別町,75.96035249,79.65540551,62.420262,88.7193051,81.84900643,84.3056712,61.0347783,79.18635239,70.47916826,87.89132854,86.40878637,71.13076594,89.99575615,76.79237005,87.99685793,98.74865336,71.95421674
36,新篠津村,74.71290453,80.5076905,83.30578391,79.30052609,75.64011783,79.24162599,77.00194832,85.08280785,68.37689666,100,67.90109721,73.21941189,79.16809024,56.78701356,74.3494336,74.98007496,75.86729972
37,松前町,90.53205562,89.17753874,87.78651994,77.56264822,90.11178807,83.29366739,94.30275908,77.8042037,85.12158861,98.88373742,97.14345248,84.05414964,90.69533393,78.95386907,86.01133573,89.26888771,90.0013709
38,福島町,95.66462195,74.81142443,82.681131,87.16566996,87.90359922,67.92018495,93.50324103,74.79710086,85.07710601,80.96918534,87.37034418,78.10398525,91.17003123,81.22849686,96.73083266,95.243991,74.01338927
39,知内町,100,81.24739914,69.25048135,89.59199168,81.43714984,100,72.98605676,76.43232291,65.56299163,73.54696737,59.26599932,78.11131914,92.80853071,79.91448999,79.90841566,80.46937963,90.95759137
40,木古内町,91.43714752,85.06809462,92.55005769,82.80769507,87.91577857,71.91271663,89.52438717,98.59339138,78.66362698,84.40735572,78.34140848,80.99537709,86.09058278,80.61088671,84.36891153,95.75688688,81.92914897
41,七飯町,93.67792659,86.95682232,86.39156949,83.98180112,84.47740123,86.10980335,69.94033281,70.53756602,68.87827931,81.24192552,94.0461519,78.52524301,83.98200336,97.5843902,95.05232941,80.83438415,100
42,鹿部町,84.85637837,70.5554536,74.86160436,79.58164026,78.31767582,0,89.86883217,70.10161227,56.56126079,83.0635149,76.90309488,73.71714124,79.04582103,62.17578855,77.16429387,77.85221982,69.28763875
43,森町,97.74833111,83.39345696,76.20599195,82.92339804,82.07480649,87.58154059,94.61339274,78.81344186,79.9860747,88.69811358,89.79745542,74.92565818,85.78346447,89.44165211,94.05355735,96.60145773,90.51707808
44,八雲町,81.99031288,80.34199458,92.70371994,82.66027918,71.82321466,88.57225325,87.83337844,82.8675393,78.52721081,87.8899693,94.76145338,69.9808663,95.91486075,87.98302996,84.81453045,70.91259667,88.57234512
45,長万部町,86.49657685,88.25248013,62.40845316,78.70565152,89.85062243,77.38977554,77.50021604,92.32088663,77.02870998,76.76150864,72.89826709,61.10107103,96.52813356,78.50613173,78.52745808,74.32933309,88.55964017
46,江差町,75.85390312,88.88736436,89.1600421,82.3869782,90.32992797,99.20974063,88.40341368,95.31626604,73.95461073,89.86758328,69.60011748,67.17709553,86.15972356,72.18204904,85.58321096,82.52100795,79.46524364
47,上ノ国町,81.94186499,87.85935041,61.01373775,79.35134082,89.66855079,63.9328903,91.47729155,78.60661691,79.99448014,85.04275756,68.13369244,78.83261734,87.7377938,83.3956583,79.44389211,93.15956559,70.3722474
48,厚沢部町,92.36022708,78.76092468,80.26549688,87.74381441,84.24029516,74.39725969,89.40238057,82.6764622,76.24757321,95.7775494,71.84537613,62.92006504,78.31184248,80.72843356,82.20937629,68.82942237,78.54113865
49,乙部町,89.89213887,75.52975902,61.75049528,81.06052084,89.19059979,64.56959311,85.56151675,68.23399228,88.30619861,80.89858449,65.02759267,60.78879091,87.50156688,71.30542046,82.10112844,90.39488171,69.74488713
50,奥尻町,91.84164359,80.57275717,70.90184663,85.32187358,80.54340414,64.00046397,94.57095674,88.77143143,66.12404671,74.10952756,67.26339843,60.07430426,91.30163325,70.50990301,76.50665467,79.91204331,74.31915568
51,今金町,96.44918196,85.13779127,81.73233649,86.5314484,87.11650242,87.56495681,89.12076254,82.77803764,66.50933234,89.78812008,78.87979219,83.76038074,91.96325812,96.26798876,97.0184526,82.88818032,78.3261116
52,せたな町,91.00243686,81.03814989,86.15518894,93.19271791,81.44595611,72.91008136,87.3708198,87.81717377,92.34173867,87.45980338,68.19945849,92.09328681,93.60181084,80.17551048,100,86.64312381,75.43591285
53,島牧村,81.21343881,77.98219704,80.2170382,92.29152453,97.17783525,59.21306371,94.55245179,97.41360464,70.65563667,81.41401434,69.13843982,68.35147497,89.44218274,83.1931519,83.68812191,88.35296817,97.70250484
54,寿都町,87.19747256,70.12575494,85.40162085,90.18620804,92.95173675,78.80357434,88.2557722,91.7304852,74.83219614,80.01078993,84.50974883,77.46085121,80.41566333,94.38107448,79.57938511,90.94511383,75.28838689
55,黒松内町,86.78095297,83.07360374,87.32679222,100,89.66418885,76.38406123,83.78278775,94.17267986,60.33901558,88.18236784,77.63261446,66.39304403,86.48364603,65.2943154,86.46110648,99.23581435,74.70742026
56,蘭越町,90.3061899,83.06119145,97.5507288,95.86893473,78.84207996,86.98641369,89.09390213,81.49333852,70.96650128,83.68667912,83.00222533,71.74633548,86.81662317,80.39288585,83.56503295,88.6078957,90.79026332
57,ニセコ町,74.26818473,91.41168387,96.18804841,84.47180238,89.91120883,86.33709084,87.30633965,77.39979877,71.69212531,100,93.71925509,79.94597085,94.13513474,85.47955073,93.92942783,63.05398475,83.22613912
58,真狩村,76.79452912,71.83565729,70.8397836,90.64149321,82.46599225,65.2539792,66.38603203,100,67.17342729,80.71874252,61.65481886,52.34868206,79.76845041,83.79040963,90.10568794,75.70843244,77.0055141
59,留寿都村,58.67934304,87.14027905,94.66894168,90.68105889,80.92312489,84.05664691,85.40960368,87.47419741,64.75352378,65.08411219,69.92939005,76.67865106,85.66454571,87.22016705,83.72585049,79.11184685,75.66043776
60,喜茂別町,88.77375244,74.89196852,85.02113449,94.77066713,90.13306393,85.92541581,88.23713534,87.18481428,73.18194437,85.09208947,91.72857123,87.78048115,88.94413626,67.69726396,100,72.15838686,87.97888776
61,京極町,84.50500581,83.49899669,58.91023103,99.52038328,91.00757029,98.46245734,82.34474915,94.43390295,77.24912198,90.47643036,70.3801689,66.19501979,87.55591802,84.68287999,94.05390818,85.78789296,79.46742807
62,倶知安町,70.46709582,72.82710476,78.35364177,73.62366613,70.98175591,97.56278778,80.37676231,83.93044571,79.27942421,72.57252077,93.3219463,83.14955742,93.34810498,73.06536697,66.40120896,61.07278614,90.73345089
63,共和町,100,82.68694663,74.70524681,84.92358429,74.41543798,88.28359491,84.9063468,81.139417,83.18299702,84.73159014,78.74435346,61.94115403,84.07068368,80.84108432,88.2847806,81.74019313,92.01905385
64,岩内町,86.39177605,82.94338067,82.80177326,84.49236897,92.25125555,52.58354737,91.87083093,94.83976064,78.30729089,88.22008852,79.18397647,77.63371038,73.85820465,84.90343191,81.41873626,69.87144806,77.68804663
65,泊村,82.5142591,73.60246588,69.7532283,77.7197951,81.0789895,82.83811866,86.34692174,100,91.03700753,55.37931176,62.89954299,79.55823515,86.15638841,73.51986304,86.81153164,87.87391914,100
66,神恵内村,41.2395668,77.10298565,77.95203562,86.07097248,93.73535432,6.771519307,65.70747609,79.60404516,58.19783553,80.38389019,65.44499495,68.53279068,87.03170122,76.87676763,47.13850441,75.192271,95.26245074
67,積丹町,84.29132181,78.85548965,70.63840144,80.75688441,86.30697485,46.51506296,83.29217955,81.12237524,74.69484625,95.83908873,75.70606673,93.9952562,89.97940415,82.94829293,87.57580761,80.00573244,84.11708261
68,古平町,86.88884972,91.85105342,72.16607241,80.90935197,86.62323036,78.0867281,91.51559485,93.81529069,75.66480367,83.55913857,84.87249611,71.21530318,88.48627352,88.28826165,84.54726849,88.03094949,80.23106375
69,仁木町,83.11749208,82.3223104,84.11719594,82.42295369,80.4048311,67.77568363,92.67788197,73.20303443,49.59530118,68.13367454,71.50162834,67.182725,85.69453521,69.69675925,81.54820784,91.36411021,90.75057022
70,余市町,85.879554,88.98402107,88.67066509,83.96470972,85.58726551,81.52836364,90.8089388,75.47448872,86.6973432,87.76175839,97.73832923,83.66443169,86.6365472,90.86077538,87.08203028,74.80948993,92.26619842
71,赤井川村,83.37292051,79.32028606,86.89372545,66.28566318,83.79457638,57.44857963,79.7171389,75.11283,65.74117674,65.59060051,64.90666248,70.06520099,81.65674086,72.60798896,88.91238054,65.05829094,87.07834159
72,南幌町,78.9379696,73.39336611,70.90424802,96.86834967,75.98044459,77.70565808,80.48161636,59.38653486,75.79306837,95.07540029,77.62515536,72.11048766,88.79383054,74.56473983,70.3726202,84.30977066,91.11356762
73,奈井江町,85.47555232,80.12905532,83.91118886,77.95359918,92.34982277,93.4380603,85.28519429,88.60519137,71.01933253,97.108449,81.65239213,82.00556215,90.64272397,81.73279034,96.24473487,100,83.40587075
74,上砂川町,75.66877354,64.76084373,74.94123228,81.51717433,83.98794627,73.03337262,93.38500675,97.95169008,83.62103618,89.36375403,67.97217111,70.18919254,92.0014585,78.71156545,79.75746,71.12955919,74.12401742
75,由仁町,98.39064275,87.20733437,90.34440152,89.92638193,83.01919804,79.4180403,87.55708416,93.81725788,61.69117201,96.13376994,77.15518951,78.70844497,89.90667757,78.45626288,82.34065246,88.11328484,93.52471963
76,長沼町,82.35273572,74.15169442,84.31922864,74.33447177,84.43941587,88.63040638,68.77515803,75.41767751,72.01484907,97.09237956,74.72077993,70.38963892,79.97934581,94.27904653,88.40844521,78.05826509,64.78644425
77,栗山町,89.36541244,79.3249902,100,92.06004753,89.65195187,84.43201825,80.95484902,77.43195797,72.84284969,92.28137121,76.85314291,76.03315941,80.50040836,84.38738165,88.58847487,71.66081517,96.05691967
78,月形町,92.22876134,81.37474131,96.15888186,95.85358305,90.94909383,70.43915106,91.88332421,93.89268907,75.24012213,89.21444995,75.1806971,60.92786059,78.00122421,73.17186702,86.22745853,81.88987338,89.11104346
79,浦臼町,79.71672013,74.72372764,85.81055368,83.76931923,89.5657136,73.00687585,64.3296806,83.93238548,62.26042513,86.06696996,57.21942938,66.13652007,89.52894905,65.15476584,79.26956097,81.47287895,66.92971092
80,新十津川町,66.55533374,76.2375615,76.80728943,64.19684825,81.76835649,88.16959908,93.37252856,77.8155684,80.42942527,77.00665849,79.48798173,72.27479692,76.21688462,78.86138743,85.98700095,87.11070861,85.87283541
81,妹背牛町,63.8742149,79.651763,76.64589526,86.29449332,80.80030495,60.8043076,79.47598435,82.86858123,100,100,70.97147226,63.98324342,87.05411062,69.56576211,76.17116588,79.64339749,79.97290002
82,秩父別町,69.9540736,83.55371394,72.57263391,90.50396649,81.87746188,65.55247783,73.59065109,79.92076394,52.8411656,91.26993781,74.30344528,59.47625858,86.8536999,69.41271095,70.29205093,74.62123013,100
83,雨竜町,82.62255579,82.0295494,77.68167761,83.1950603,85.76230933,80.43148516,90.24493715,83.51794383,99.85287808,100,69.02171598,82.15825727,87.15937383,86.49198018,77.17759927,82.30948293,72.61948172
84,北竜町,92.19615847,75.75875506,85.45578493,68.82940503,87.83097312,82.08295173,88.58862774,85.85362203,57.81747149,99.56348062,67.37864501,81.73533985,92.97773998,77.84645191,90.81863881,95.23622292,82.44241901
85,沼田町,86.30377367,83.06697306,81.02574057,79.83023399,83.133848,73.55380702,87.41137681,77.29963637,73.77604792,100,55.22591422,60.92624563,72.39467762,79.28408648,86.6449685,96.81404017,64.28123437
86,鷹栖町,83.65098535,77.13717252,80.04425052,85.97654853,69.63433311,90.40593103,85.58910758,80.5495343,81.63074491,75.8845539,90.85348231,77.57294699,88.14421575,93.69730527,88.81170468,60.38747706,82.33213876
87,東神楽町,89.15651692,89.39078217,88.40427162,87.79050944,78.52367888,86.40438335,81.75344018,75.92895296,68.97420112,86.59621495,77.89068428,62.09253043,81.66733997,80.60481941,98.57828494,77.99258015,90.95757086
88,当麻町,78.27499907,84.14659834,78.42900608,80.21022673,81.26095964,85.01664979,77.51245689,72.14493401,65.01188293,82.00656837,67.79557453,80.30856705,83.26759102,79.56360443,87.66542253,75.55763649,85.60524801
89,比布町,78.7769926,88.79039096,74.28759106,77.97603479,81.46210451,74.13005051,80.22560812,64.64708917,74.45798909,85.13995762,43.00835626,89.21595928,73.68262571,83.12736449,86.88357762,95.44305531,82.85179363
90,愛別町,95.80256887,81.56687546,86.59578932,89.01014399,99.45312475,75.96950946,90.09333821,80.73709019,69.15546663,99.54234982,83.01138227,78.70048723,80.72075672,81.08120859,90.59617574,89.97873637,85.017083
91,上川町,84.17274586,79.69086577,76.09742698,95.69827876,87.18861965,93.23878762,92.16345496,82.82285333,68.50747428,77.68081189,68.4501394,79.60890774,91.26075966,90.75905983,84.77122549,94.94796022,66.67210089
92,東川町,76.48269014,72.1246861,79.10106532,80.47693624,78.73121016,87.06858307,72.35958356,90.24462694,54.17479838,79.68776011,81.49551294,84.13637774,82.1911479,76.03560485,84.3156871,75.94899245,81.02584895
93,美瑛町,80.29714063,79.02238093,100,75.49728328,84.52198151,82.03987914,83.05241943,80.0799591,66.17954142,100,79.55229968,81.21583814,85.08752082,86.80573168,77.09676222,91.42131409,95.06820967
94,上富良野町,85.21782207,86.16455374,86.11717045,66.84518936,81.68253972,87.56291404,89.38219218,86.27756255,69.90484583,91.73923931,83.72452685,81.13367739,79.27288518,81.23335258,77.53638344,74.78075922,91.03479446
95,中富良野町,82.39271509,85.08629863,69.90906357,74.61476419,82.71983229,46.55828465,83.12953655,83.58697822,71.47122949,91.71393141,68.29346487,86.68129439,69.75124102,90.07887374,87.37066232,93.67764173,84.99745829
96,南富良野町,82.14052904,78.70322727,82.99579977,87.33803448,83.75021132,66.03308194,81.12449955,79.97618653,60.80096427,98.41895172,70.89888707,64.91038942,82.98069121,79.38630057,86.65071818,94.45616992,89.38161205
97,占冠村,66.09729816,77.82410953,96.55473256,100,84.99844299,0,88.59957363,85.65749872,79.55471931,97.21601444,52.86120845,61.69658609,43.05760952,50.86170794,0,63.40279219,91.86137336
98,和寒町,89.60809876,85.92912469,89.99918755,86.07322144,83.92960327,77.89305259,86.09663692,83.3563529,83.84853828,100,98.84859897,63.64579529,74.22383627,88.79919727,89.98984184,72.78225971,87.65942718
99,剣淵町,79.6216282,88.52298255,76.87576275,82.39081548,70.93095027,59.55805449,84.5469795,83.21621955,90.62632771,96.44106062,65.44428664,93.94556116,87.64996572,87.14572067,77.63451913,100,92.51394763
100,下川町,90.96170482,82.21500151,70.43556063,84.66113748,81.54532972,87.59850661,82.1584687,78.29864087,66.4562304,93.07131205,80.66963495,70.14956302,82.21636708,92.77326838,73.52474475,87.14127315,87.73822129
101,美深町,95.86329835,86.76417196,80.76064142,71.41210898,94.12015742,77.93934247,93.99715291,84.32426261,75.74835154,80.51321736,60.8660128,72.07887557,80.65474541,93.93294043,100,89.62312597,78.43874676
102,音威子府村,83.77274749,89.19951603,88.66291309,89.62817656,75.32996237,57.67733634,94.44103735,96.08155306,70.95459118,88.24109455,78.64359219,84.62291933,86.37693407,83.08760436,100,78.90657346,89.1275356
103,中川町,84.4678491,85.67277527,74.31963226,88.70800425,81.51281577,51.47718406,90.41856155,95.08460148,100,63.97352282,91.55266045,82.58342477,79.26470038,91.46835021,56.04062545,71.94501027,76.54794429
104,幌加内町,89.73175187,84.02911872,61.19244023,81.88294359,74.1691335,87.51870591,87.59067901,94.67402558,77.69846194,73.42367344,61.32794575,100,75.87619527,78.48415432,90.66079234,98.8363532,80.08108892
105,増毛町,86.86499714,81.76807472,84.82709756,85.92476475,83.395528,1.958279963,87.76990756,79.0740537,88.9738607,83.52341887,49.65107729,87.0885923,78.13725695,95.41627108,76.57808431,94.44818376,72.22230145
106,小平町,88.89752632,81.59907644,59.66411478,89.98180315,79.20888862,62.65729425,91.71068044,83.85548425,64.60527996,96.84979807,70.44932871,64.3419862,90.39120918,81.17811675,83.96824001,65.39735701,83.52217177
107,苫前町,79.96169788,78.32358344,71.29800338,85.59322652,95.00512262,0,90.38579165,90.84418585,79.4239039,89.66743844,52.503693,68.25554544,82.59696414,98.68284028,73.9306494,81.36424496,89.05795102
108,羽幌町,87.03185641,79.49358177,87.57654414,80.17843672,80.08168649,3.807756575,85.27809813,88.49416099,100,85.0901009,56.84233926,84.15791108,84.04722833,100,100,80.36914462,87.8812737
109,初山別村,84.0064267,81.37564268,76.39894659,80.34708519,90.23660015,14.06540375,86.60333668,97.35138747,81.10009225,88.01970627,55.95141873,71.09019025,88.41845281,95.49025974,80.0556107,79.7396246,81.31829894
110,遠別町,92.18058345,85.70094608,78.23072448,87.82835892,81.67011504,0,82.83701954,81.88774372,93.60159708,91.66759144,57.27267302,71.24985265,68.85754921,87.9375757,92.34672454,76.55040642,62.23027128
111,天塩町,86.37680805,73.87377665,84.59178128,84.95186817,76.79476378,39.81217963,87.21801105,89.13157463,91.07530391,91.62001935,74.97023395,78.6222696,78.70305446,100,87.11645692,98.15752189,91.10653238
112,猿払村,89.88073397,82.5907307,70.34782541,98.1788138,76.66456095,87.11763369,85.16394933,84.21159318,76.56470626,98.08919511,73.32284374,55.95692483,86.12350235,82.50556386,84.53220562,85.29724804,99.23208636
113,浜頓別町,92.04603837,88.36620319,69.92122133,84.03357002,72.68699226,89.59276227,93.43211916,90.94096711,76.71111597,99.5420172,77.40856617,70.09683524,82.5866635,96.56531488,78.89206936,90.51712206,83.2435677
114,中頓別町,83.10913346,85.68652458,70.59244741,88.3971783,94.49273301,89.0226682,85.58025287,79.26084992,87.69153391,89.56137968,79.51763354,69.81326475,85.84839294,90.00419284,92.53451881,87.65412665,91.91522147
115,枝幸町,100,82.29039869,72.30611572,77.03263649,86.80531541,94.32193328,90.42393076,83.78370584,83.70777172,95.90728882,90.23222417,70.12463114,89.44771744,83.68881932,89.24952933,68.75806905,79.30029481
116,豊富町,100,82.31958213,72.19796703,86.1214045,81.21442014,77.82149667,88.77050821,85.75153311,92.1707819,100,75.12585143,76.33760531,94.6440198,94.71577139,61.70732988,92.04913678,97.55360455
117,礼文町,95.93904133,73.94949007,77.70275053,90.18018391,98.49087142,0,87.03512963,95.22414869,100,81.94776314,60.74225097,100,85.17605098,100,33.9674716,97.37681229,49.45690072
118,利尻町,81.12213222,78.25259707,81.45043867,95.28043518,63.55571516,0,85.37654678,82.11568855,76.52297248,80.49610383,35.59622847,81.7349631,77.03252273,100,53.82777521,58.92402267,88.15287503
119,利尻富士町,82.90105932,82.5479168,80.11577959,87.30270518,82.98345278,0,89.9826852,84.50153469,84.20006044,72.12898634,87.77347605,100,73.65155503,83.66580149,62.06465605,96.87040792,76.36627923
120,幌延町,96.31301225,80.91038859,75.85897917,97.38429094,98.53117605,81.78266874,87.82009101,77.12857147,100,85.44346904,90.57079291,89.2109368,78.39923808,82.19523862,39.92536898,80.12596346,85.18946059
121,美幌町,86.16906942,82.36472062,88.96160284,68.46060627,81.85077552,47.46791197,92.32927493,84.59244931,82.55203206,89.36555667,79.74915273,93.60993721,39.47731658,100,31.61652991,75.02390747,67.47755717
122,津別町,68.15152869,79.01816595,76.55893684,96.54099716,85.56514521,100,74.40387851,86.42731215,53.71171545,88.50303836,82.27795084,81.24462197,92.92342174,86.82522087,97.07878654,71.16435625,85.45264194
123,斜里町,81.28310147,76.87758955,74.88264357,89.98533108,81.56519747,98.64488259,84.24226265,93.75035889,90.90842606,100,87.8206229,83.67296547,86.35114487,92.85837722,89.8551879,92.57214221,100
124,清里町,93.10229469,79.44692431,77.37159568,87.4586567,80.07663252,89.57993769,66.14735438,63.93474701,50.44534605,92.50638505,59.93583294,79.27832228,84.87519146,80.81359998,82.26172268,80.23859062,79.8028754
125,小清水町,63.16114487,90.43774964,94.90525628,81.6100291,91.72383234,99.35569183,87.17861624,70.07985908,81.11462124,84.00571585,69.44884022,80.72122357,70.41805167,90.72391274,66.74847087,76.16571842,100
126,訓子府町,93.31711072,79.07393665,81.66064571,84.3092748,85.85879567,69.11242054,90.56707408,75.08610919,56.88740979,100,69.77027599,96.30708118,74.29746901,89.58396191,91.29514851,99.47321323,83.214624
127,置戸町,92.58209095,75.96884946,75.77252158,84.84666755,89.31542262,86.31611081,88.23194676,98.09198458,82.19267361,91.76441522,76.64047319,67.09554918,86.13519333,60.37525419,93.0106409,85.60125835,90.26437421
128,佐呂間町,97.27873877,80.90381381,71.89079211,83.70098735,75.55377575,92.61660551,66.96217028,68.57676462,75.49890342,100,51.78698835,81.95775935,77.67324055,89.50696485,87.28462046,100,99.75526336
129,遠軽町,84.25621142,79.87053156,85.71441373,89.29551853,84.29889563,82.68768195,92.26983136,78.7074937,75.83331631,80.96115996,84.10334704,79.15591092,92.24705498,82.98900801,84.30305732,73.18598218,86.13536785
